------------------------------------------------------------------------------------------------- Source: sample1.mfc --------------------------------------------------------------------------------------------------
  Sample Bytes:  104      Sample Kind:   MFCC_D_Z_0
  Num Comps:     26       Sample Period: 10000.0 us
  Num Samples:   1032     File Format:   HTK
------------------------------------------------------------------------------------------------ Observation Structure -------------------------------------------------------------------------------------------------
x:      MFCC-1  MFCC-2  MFCC-3  MFCC-4  MFCC-5  MFCC-6  MFCC-7  MFCC-8  MFCC-9 MFCC-10 MFCC-11 MFCC-12      C0   Del-1   Del-2   Del-3   Del-4   Del-5   Del-6   Del-7   Del-8   Del-9  Del-10  Del-11  Del-12   DelC0
--------------------------------------------------------------------------------------------------- Samples: 0->200 ----------------------------------------------------------------------------------------------------
75:     -9.535   0.029  -2.605  -2.753  -5.116   3.443   5.415   3.744   2.925   4.262  -2.653  -1.491  -9.037  -0.080  -0.003   0.009  -0.776  -0.956   0.146   0.610  -0.341  -1.111   0.471   0.657   1.812  -0.063
76:     -9.097   1.047   0.344  -1.973  -2.225   4.371   0.884  -1.435  -1.614   2.889  -2.270   1.894  -9.165  -0.032  -0.171   0.404  -0.049  -0.204   1.139   0.591   0.550   0.642   0.851   1.073   1.616   0.024
77:     -9.524   0.083  -1.143  -2.077  -2.449  10.503   7.388   3.108   2.282   6.502  -0.630   1.495  -9.191  -0.013  -0.295   0.443   0.388  -0.249   0.526   0.153  -0.072   0.790   1.733   0.979   0.601   0.015
78:     -9.402  -0.944  -0.974  -2.341  -5.531   4.876   2.162   5.035   7.552   8.778   0.052   2.230  -9.072  -0.099  -0.258   0.489   0.759  -0.589  -0.550   0.429  -0.245  -0.177   0.146   0.622  -0.617   0.022
79:     -9.445  -0.448   0.268  -0.629  -4.705   5.821   5.539   0.147   2.293   9.981   1.079   1.346  -9.007  -0.222  -0.894   0.994   1.907  -0.703  -2.206  -0.034  -0.408  -1.931  -0.686   0.976  -1.071   0.141
80:     -9.633   0.025   2.086   1.099  -4.043   3.965   3.954  -1.178  -2.503   1.880  -0.017  -1.116  -9.149  -0.280  -0.663   0.825   1.845  -0.662  -2.011  -0.338  -0.734  -2.589  -1.314   1.092  -1.696  -0.045
81:    -10.516  -4.872   2.295   5.737  -6.707  -0.072   6.324   4.176  -2.344   6.521   4.283  -2.187  -8.448  -0.076  -0.271   0.066   0.805  -0.413  -1.020  -0.642   0.099  -0.783  -0.741   1.060  -0.985  -0.074
82:    -10.268  -2.046   2.135   3.703  -7.842  -2.230   0.079  -0.649  -3.072   3.940   3.912  -4.485  -9.577   0.309   0.829  -0.368  -0.192   0.154   0.451  -0.795   0.154   0.584   0.227  -0.443  -1.147  -0.186
83:     -9.506  -0.766   0.572   2.092  -4.871   3.817   4.267   0.377  -1.336   5.243   4.416  -1.894  -9.163   0.119   1.890  -0.284  -1.046   1.341   2.414  -0.342  -0.052   0.998  -0.287  -1.255   0.128  -0.379
84:     -8.593   2.115   1.105   1.964  -4.193   4.277   1.006   1.490  -0.085   3.652  -2.296  -6.998  -9.723   0.119   1.448   0.082  -0.659   1.618   2.935   0.537   0.379   1.160  -0.098  -1.008   1.246  -0.150
